WINDOWS-1256  fail: WINDOWS-1256
CP1257  fail: CP1257
WINBALTRIM  fail: WINBALTRIM
WINDOWS-1257  fail: WINDOWS-1257
CP1258  fail: CP1258
WINDOWS-1258  fail: WINDOWS-1258
CP1361  fail: CP1361
JOHAB  fail: JOHAB
CP154  fail: CP154
CYRILLIC-ASIAN  fail: CYRILLIC-ASIAN
PT154  fail: PT154
PTCP154  fail: PTCP154
CSPTCP154  fail: CSPTCP154
CP20866  fail: CP20866
KOI8-R  fail: KOI8-R
CSKOI8R  fail: CSKOI8R
CP28591  fail: CP28591
CP819  fail: CP819
IBM819  fail: IBM819
ISO-8859-1  fail: ISO-8859-1
ISO-IR-100  fail: ISO-IR-100
ISO8859-1  fail: ISO8859-1
ISO8859_1  fail: ISO8859_1
ISO_8859-1  fail: ISO_8859-1
ISO_8859-1:1987  fail: ISO_8859-1:1987
L1  fail: L1
LATIN1  fail: LATIN1
CSISOLATIN1  fail: CSISOLATIN1
CP28592  fail: CP28592
ISO-8859-2  fail: ISO-8859-2
ISO-IR-101  fail: ISO-IR-101
ISO8859-2  fail: ISO8859-2
ISO8859_2  fail: ISO8859_2
ISO_8859-2  fail: ISO_8859-2
ISO_8859-2:1987  fail: ISO_8859-2:1987
L2  fail: L2
LATIN2  fail: LATIN2
CSISOLATIN2  fail: CSISOLATIN2
CP28593  fail: CP28593
ISO-8859-3  fail: ISO-8859-3
ISO-IR-109  fail: ISO-IR-109
ISO8859-3  fail: ISO8859-3
ISO8859_3  fail: ISO8859_3
ISO_8859-3  fail: ISO_8859-3
ISO_8859-3:1988  fail: ISO_8859-3:1988
L3  fail: L3
LATIN3  fail: LATIN3
CSISOLATIN3  fail: CSISOLATIN3
CP28594  fail: CP28594
ISO-8859-4  fail: ISO-8859-4
ISO-IR-110  fail: ISO-IR-110
ISO8859-4  fail: ISO8859-4
ISO8859_4  fail: ISO8859_4
ISO_8859-4  fail: ISO_8859-4
ISO_8859-4:1988  fail: ISO_8859-4:1988
L4  fail: L4
LATIN4  fail: LATIN4
CSISOLATIN4  fail: CSISOLATIN4
CP28595  fail: CP28595
CYRILLIC  fail: CYRILLIC
ISO-8859-5  fail: ISO-8859-5
ISO-IR-144  fail: ISO-IR-144
ISO8859-5  fail: ISO8859-5
ISO8859_5  fail: ISO8859_5
ISO_8859-5  fail: ISO_8859-5
ISO_8859-5:1988  fail: ISO_8859-5:1988
CSISOLATINCYRILLIC  fail: CSISOLATINCYRILLIC
CP28597  fail: CP28597
ECMA-118  fail: ECMA-118
ELOT_928  fail: ELOT_928
GREEK  fail: GREEK
GREEK8  fail: GREEK8
ISO-8859-7  fail: ISO-8859-7
ISO-IR-126  fail: ISO-IR-126
ISO8859-7  fail: ISO8859-7
ISO8859_7  fail: ISO8859_7
ISO_8859-7  fail: ISO_8859-7
ISO_8859-7:1987  fail: ISO_8859-7:1987
ISO_8859-7:2003  fail: ISO_8859-7:2003
CSISOLATINGREEK  fail: CSISOLATINGREEK
CP28598  fail: CP28598
CP38598  fail: CP38598
HEBREW  fail: HEBREW
ISO-8859-8  fail: ISO-8859-8
ISO-IR-138  fail: ISO-IR-138
ISO8859-8  fail: ISO8859-8
ISO8859_8  fail: ISO8859_8
ISO_8859-8  fail: ISO_8859-8
ISO_8859-8:1988  fail: ISO_8859-8:1988
CSISOLATINHEBREW  fail: CSISOLATINHEBREW
CP28599  fail: CP28599
ISO-8859-9  fail: ISO-8859-9
ISO-IR-148  fail: ISO-IR-148
ISO8859-9  fail: ISO8859-9
ISO8859_9  fail: ISO8859_9
ISO_8859-9  fail: ISO_8859-9
ISO_8859-9:1989  fail: ISO_8859-9:1989
L5  fail: L5
LATIN5  fail: LATIN5
CSISOLATIN5  fail: CSISOLATIN5
CP28605  fail: CP28605
ISO-8859-15  fail: ISO-8859-15
ISO-IR-203  fail: ISO-IR-203
ISO8859-15  fail: ISO8859-15
ISO_8859-15  fail: ISO_8859-15
ISO_8859-15:1998  fail: ISO_8859-15:1998
LATIN-9  fail: LATIN-9
CP51932  fail: CP51932
EUC-JP  fail: EUC-JP
EUCJP  fail: EUCJP
EUC_JP  fail: EUC_JP
EXTENDED_UNIX_CODE_PACKED_FORMAT_FOR_JAPANESE  fail: EXTENDED_UNIX_CODE_PACKED_FORMAT_FOR_JAPANESE
CSEUCPKDFMTJAPANESE  fail: CSEUCPKDFMTJAPANESE
CP51949  fail: CP51949
EUC-KR  fail: EUC-KR
EUCKR  fail: EUCKR
EUC_KR  fail: EUC_KR
CSEUCKR  fail: CSEUCKR
CP51950  fail: CP51950
EUC-TW  fail: EUC-TW
EUCTW  fail: EUCTW
EUC_TW  fail: EUC_TW
CSEUCTW  fail: CSEUCTW
CP54936  fail: CP54936
GB18030  fail: GB18030
CP65000  fail: CP65000
UNICODE-1-1-UTF-7  fail: UNICODE-1-1-UTF-7
UTF-7  fail: UTF-7
CSUNICODE11UTF7  fail: CSUNICODE11UTF7
CP65001  fail: CP65001
UTF-8  fail: UTF-8
UTF8  fail: UTF8
CP737  fail: CP737
CP775  fail: CP775
IBM775  fail: IBM775
CSPC775BALTIC  fail: CSPC775BALTIC
CP853  fail: CP853
CP856  fail: CP856
CP858  fail: CP858
CP864  fail: CP864
IBM864  fail: IBM864
CSIBM864  fail: CSIBM864
CP874  fail: CP874
WINDOWS-874  fail: WINDOWS-874
CP922  fail: CP922
CP932  fail: CP932
WINDOWS-31J  fail: WINDOWS-31J
CP936  fail: CP936
MS936  fail: MS936
WINDOWS-936  fail: WINDOWS-936
CP943  fail: CP943
CP949  fail: CP949
UHC  fail: UHC
CP950  fail: CP950
DEC-HANYU  fail: DEC-HANYU
DEC-KANJI  fail: DEC-KANJI
EUC-JIS-2004  fail: EUC-JIS-2004
EUC-JISX0213  fail: EUC-JISX0213
GBK  fail: GBK
GEORGIAN-ACADEMY  fail: GEORGIAN-ACADEMY
GEORGIAN-PS  fail: GEORGIAN-PS
HP-ROMAN8  fail: HP-ROMAN8
R8  fail: R8
ROMAN8  fail: ROMAN8
CSHPROMAN8  fail: CSHPROMAN8
HZ  fail: HZ
HZ-GB-2312  fail: HZ-GB-2312
ISO-10646-UCS-2  fail: ISO-10646-UCS-2
UCS-2  fail: UCS-2
UCS2  fail: UCS2
CSUNICODE  fail: CSUNICODE
ISO-10646-UCS-4  fail: ISO-10646-UCS-4
UCS-4  fail: UCS-4
UCS4  fail: UCS4
CSUCS4  fail: CSUCS4
ISO-2022-CN  fail: ISO-2022-CN
ISO2022CN  fail: ISO2022CN
CSISO2022CN  fail: CSISO2022CN
ISO-2022-CN-EXT  fail: ISO-2022-CN-EXT
ISO-2022-JP  fail: ISO-2022-JP
ISO2022JP  fail: ISO2022JP
CSISO2022JP  fail: CSISO2022JP
ISO-2022-JP-1  fail: ISO-2022-JP-1
ISO-2022-JP-2  fail: ISO-2022-JP-2
CSISO2022JP2  fail: CSISO2022JP2
ISO-2022-JP-2004  fail: ISO-2022-JP-2004
ISO-2022-JP-3  fail: ISO-2022-JP-3
ISO-2022-KR  fail: ISO-2022-KR
ISO2022KR  fail: ISO2022KR
CSISO2022KR  fail: CSISO2022KR
ISO-8859-10  fail: ISO-8859-10
ISO-IR-157  fail: ISO-IR-157
ISO8859-10  fail: ISO8859-10
ISO_8859-10  fail: ISO_8859-10
ISO_8859-10:1992  fail: ISO_8859-10:1992
L6  fail: L6
LATIN6  fail: LATIN6
CSISOLATIN6  fail: CSISOLATIN6
ISO-8859-11  fail: ISO-8859-11
ISO8859-11  fail: ISO8859-11
ISO_8859-11  fail: ISO_8859-11
ISO-8859-13  fail: ISO-8859-13
ISO-IR-179  fail: ISO-IR-179
ISO8859-13  fail: ISO8859-13
ISO_8859-13  fail: ISO_8859-13
L7  fail: L7
LATIN7  fail: LATIN7
ISO-8859-14  fail: ISO-8859-14
ISO-CELTIC  fail: ISO-CELTIC
ISO-IR-199  fail: ISO-IR-199
ISO8859-14  fail: ISO8859-14
ISO_8859-14  fail: ISO_8859-14
ISO_8859-14:1998  fail: ISO_8859-14:1998
L8  fail: L8
LATIN8  fail: LATIN8
ISO-8859-16  fail: ISO-8859-16
ISO-IR-226  fail: ISO-IR-226
ISO8859-16  fail: ISO8859-16
ISO_8859-16  fail: ISO_8859-16
ISO_8859-16:2001  fail: ISO_8859-16:2001
L10  fail: L10
LATIN10  fail: LATIN10
ISO-IR-14  fail: ISO-IR-14
ISO646-JP  fail: ISO646-JP
JIS_C6220-1969-RO  fail: JIS_C6220-1969-RO
JP  fail: JP
CSISO14JISC6220RO  fail: CSISO14JISC6220RO
ISO-IR-149  fail: ISO-IR-149
KOREAN  fail: KOREAN
KSC5601.1987-0  fail: KSC5601.1987-0
KSC_5601  fail: KSC_5601
KS_C_5601-1987  fail: KS_C_5601-1987
KS_C_5601-1989  fail: KS_C_5601-1989
CSKSC56011987  fail: CSKSC56011987
ISO-IR-159  fail: ISO-IR-159
JIS0212  fail: JIS0212
JISX0212.1990-0  fail: JISX0212.1990-0
JIS_X0212  fail: JIS_X0212
JIS_X0212-1990  fail: JIS_X0212-1990
JIS_X0212.1990-0  fail: JIS_X0212.1990-0
X0212  fail: X0212
CSISO159JISX02121990  fail: CSISO159JISX02121990
ISO-IR-166  fail: ISO-IR-166
TIS-620  fail: TIS-620
TIS620  fail: TIS620
TIS620-0  fail: TIS620-0
TIS620.2529-1  fail: TIS620.2529-1
TIS620.2533-0  fail: TIS620.2533-0
TIS620.2533-1  fail: TIS620.2533-1
ISO-IR-230  fail: ISO-IR-230
TDS565  fail: TDS565
ISO-IR-87  fail: ISO-IR-87
JIS0208  fail: JIS0208
JISX0208.1983-0  fail: JISX0208.1983-0
JISX0208.1990-0  fail: JISX0208.1990-0
JIS_C6226-1983  fail: JIS_C6226-1983
JIS_X0208  fail: JIS_X0208
JIS_X0208-1983  fail: JIS_X0208-1983
JIS_X0208-1990  fail: JIS_X0208-1990
X0208  fail: X0208
CSISO87JISX0208  fail: CSISO87JISX0208
JAVA  fail: JAVA
JIS0201  fail: JIS0201
JISX0201-1976  fail: JISX0201-1976
JISX0201.1976-0  fail: JISX0201.1976-0
JIS_X0201  fail: JIS_X0201
X0201  fail: X0201
CSHALFWIDTHKATAKANA  fail: CSHALFWIDTHKATAKANA
KOI8-RU  fail: KOI8-RU
KOI8-T  fail: KOI8-T
KOI8-U  fail: KOI8-U
KZ-1048  fail: KZ-1048
RK1048  fail: RK1048
STRK1048-2002  fail: STRK1048-2002
CSKZ1048  fail: CSKZ1048
MS_KANJI  fail: MS_KANJI
SHIFT-JIS  fail: SHIFT-JIS
SHIFT_JIS  fail: SHIFT_JIS
SJIS  fail: SJIS
CSSHIFTJIS  fail: CSSHIFTJIS
MULELAO-1  fail: MULELAO-1
NEXTSTEP  fail: NEXTSTEP
RISCOS-LATIN1  fail: RISCOS-LATIN1
SHIFT_JIS-2004  fail: SHIFT_JIS-2004
SHIFT_JISX0213  fail: SHIFT_JISX0213
TCVN  fail: TCVN
TCVN-5712  fail: TCVN-5712
TCVN5712-1  fail: TCVN5712-1
TCVN5712-1:1993  fail: TCVN5712-1:1993
UCS-2-INTERNAL  fail: UCS-2-INTERNAL
UCS-2-SWAPPED  fail: UCS-2-SWAPPED
UCS-4-INTERNAL  fail: UCS-4-INTERNAL
UCS-4-SWAPPED  fail: UCS-4-SWAPPED
UNICODEFFFE  fail: UNICODEFFFE
UTF-16LE  fail: UTF-16LE
UTF16LE  fail: UTF16LE
UTF-16  fail: UTF-16
UTF16  fail: UTF16
UTF-16BE  fail: UTF-16BE
UTF16BE  fail: UTF16BE
UTF-32  fail: UTF-32
UTF32  fail: UTF32
UTF-32BE  fail: UTF-32BE
UTF32BE  fail: UTF32BE
UTF-32LE  fail: UTF-32LE
UTF32LE  fail: UTF32LE
VISCII  fail: VISCII
VISCII1.1-1  fail: VISCII1.1-1
CSVISCII  fail: CSVISCII
